price_reduced_amount,year_built,sold_date,sold_price,lot_sqft,sqft,baths,garage,stories,beds,postal_code,state,city,central_air,central_heat,fireplace,rental_property,energy_efficient,community_security_features,carport,dishwasher,washer_dryer,laundry_room,floor_plan,ensuite,shopping,hardwood_floors,high_ceiling,open_floor_plan,fenced_yard,new_roof,front_porch,groundscare,basement,corner_lot,farm,ranch,forced_air,dining_room,family_room,view,near_outdoors,near_rec_facilities,fancy_kitchen,type_condo,type_land,type_mobile,type_multi_family,type_other,type_single_family,type_townhome,season_autumn,season_summer,season_winter
0.0,1910,2023-12-22,610000.0,6534.0,5100.0,6,0,1,12,6114,Connecticut,Hartford,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0.0,1988,2023-12-22,123000.0,7841.0,975.0,2,1,1,2,6114,Connecticut,Hartford,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
0.0,1920,2023-12-21,325000.0,4356.0,4496.0,4,0,1,9,6112,Connecticut,Hartford,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0.0,1923,2023-12-21,300000.0,10890.0,1894.0,2,1,1,3,6114,Connecticut,Hartford,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4999.0,1965,2023-12-21,65000.0,7841.0,650.0,1,1,1,1,6105,Connecticut,Hartford,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
0.0,1913,2023-12-21,380000.0,8712.0,2498.0,3,0,1,7,6106,Connecticut,Hartford,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11325.0,1943,2023-12-21,261250.0,4792.0,1042.0,1,0,1,4,6114,Connecticut,Hartford,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0.0,1919,2023-12-19,635000.0,7405.0,8010.0,7,3,1,10,6114,Connecticut,Hartford,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0.0,1920,2023-12-19,25000.0,5227.0,1629.0,2,0,1,3,6106,Connecticut,Hartford,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
30000.0,1895,2023-12-18,303000.0,6098.0,2315.0,3,0,1,6,6106,Connecticut,Hartford,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0.0,1923,2023-12-15,307000.0,5227.0,6930.0,1,0,1,2,6120,Connecticut,Hartford,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0.0,1926,2023-12-15,285000.0,6098.0,3696.0,2,2,1,4,6120,Connecticut,Hartford,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
100.0,1900,2023-12-15,700000.0,9148.0,4400.0,4,0,1,5,6105,Connecticut,Hartford,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
0.0,1898,2023-12-14,220000.0,6098.0,1510.0,2,1,1,2,6114,Connecticut,Hartford,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3000.0,1945,2024-01-16,88500.0,6534.0,1389.0,2,1,2,4,36107,Alabama,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.0,1969,2024-01-16,145000.0,17424.0,2058.0,2,0,1,3,36109,Alabama,Montgomery,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9000.0,1955,2024-01-16,65000.0,9712.0,1432.0,2,0,1,3,36107,Alabama,Montgomery,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
5000.0,1984,2024-01-12,169000.0,10890.0,1804.0,2,0,1,3,36106,Alabama,Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.0,1999,2024-01-12,180000.0,12632.0,1476.0,2,0,1,3,36117,Alabama,Montgomery,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
5001.0,2001,2024-01-12,260000.0,12632.0,1888.0,2,0,1,4,36117,Alabama,Montgomery,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0.0,1962,2024-01-12,60000.0,13068.0,1722.0,2,0,1,3,36116,Alabama,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.0,1965,2024-01-12,159000.0,11326.0,1635.0,2,2,1,3,36109,Alabama,Montgomery,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.0,1974,2024-01-12,424900.0,740520.0,3339.0,3,0,2,3,36108,Alabama,Montgomery,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0.0,1920,2024-01-12,370000.0,3397680.0,1629.0,0,0,1,3,36105,Alabama,Montgomery,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
